id;eikon_deal_id;verified_deal;potential_deal_cos05;acquiror;manually_checked_acquiror;manually_checked_target;best_match_link_corrected;best_match_review_amount_corrected;full_name;full_name_cleaned;Reviews_cumsum;bucket
4250;34391281082;1;1;1;1;1;https://www.glassdoor.com/Reviews/Best-Buy-Reviews-E97.htm;3200;Best Buy Co Inc;Best Buy Co;3200;1
8608;34391281082;1;1;0;1;1;https://www.glassdoor.com/Reviews/Napster-Reviews-E341667.htm;65;Napster Inc;Napster;3265;1
3999;34391297451;1;1;1;1;1;https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm;32800;Bank of America Corp;Bank of America;36065;1
8561;34391297451;1;1;0;1;1;https://www.glassdoor.com/Reviews/Countrywide-Financial-Reviews-E184.htm;92;Countrywide Financial Corp;Countrywide Financial;36157;1
4238;34391298163;1;1;1;1;1;https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm;135311;Amazon.com Inc;Amazon.com;171468;1
8566;34391298163;1;1;0;1;1;https://www.glassdoor.com/Reviews/Audible-Reviews-E9266.htm;584;Audible Inc;Audible;172052;1
4018;34391300486;1;1;1;1;1;https://www.glassdoor.com/Reviews/Delta-Air-Lines-Reviews-E197.htm;5400;Delta Air Lines Inc;Delta Air Lines;177452;1
8579;34391300486;1;1;0;1;1;https://www.glassdoor.com/Reviews/Northwest-Airlines-Reviews-E2623.htm;93;Northwest Airlines Corp;Northwest Airlines;177545;1
4398;34391301260;1;1;1;1;1;https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm;6170;Hewlett Packard Co;Hewlett Packard;183715;1
8586;34391301260;1;1;0;1;1;https://www.glassdoor.com/Reviews/Electronic-Data-Systems-Reviews-E3555.htm;692;Electronic Data Systems Corp;Electronic Data Systems;184407;1
4454;34391301366;1;1;1;1;1;https://www.glassdoor.com/Reviews/Paramount-Reviews-E40260.htm;2370;CBS Corp;CBS;186777;1
8697;34391301366;1;1;0;1;1;https://www.glassdoor.com/Reviews/CNET-Reviews-E5818.htm;78;CNET Networks Inc;CNET Networks;186855;1
